CustomerID,Age,Gender,Income,CampaignChannel,CampaignType,AdSpend,ClickThroughRate,ConversionRate,WebsiteVisits,PagesPerVisit,TimeOnSite,SocialShares,EmailOpens,EmailClicks,PreviousPurchases,LoyaltyPoints,AdvertisingPlatform,AdvertisingTool,Conversion
8060,25,Female,120488,PPC,Consideration,9657.29,0.0699812,0.0610965,21,1.34556,7.5608,38,7,6,0,1035,IsConfid,ToolConfid,1
8061,64,Female,77702,Email,Retention,1685.18,0.249543,0.125409,37,9.56005,1.43332,90,19,2,5,2604,IsConfid,ToolConfid,1
8062,52,Female,146671,PPC,Conversion,5459.12,0.188475,0.147542,41,7.5075,13.0224,71,12,5,3,716,IsConfid,ToolConfid,1
8063,31,Male,114961,Email,Retention,3277.72,0.197259,0.0530145,27,5.48257,7.40691,92,8,2,5,3979,IsConfid,ToolConfid,1
8064,34,Male,132194,"Social Media",Retention,5322.12,0.154346,0.087419,16,5.95911,13.7649,59,18,3,4,824,IsConfid,ToolConfid,1
8065,53,Female,105107,Referral,Conversion,5567.53,0.273782,0.0456201,47,5.60056,1.63939,52,6,1,3,125,IsConfid,ToolConfid,1
8066,67,Female,49075,Email,Retention,985.538,0.211239,0.142792,17,9.08928,5.29181,75,19,4,6,643,IsConfid,ToolConfid,1
8067,57,Female,127721,Referral,Consideration,6645.24,0.120732,0.174119,1,7.96275,10.3098,7,7,9,6,4051,IsConfid,ToolConfid,1
8068,21,Female,91031,Email,Consideration,6381.37,0.0791957,0.176732,34,3.92628,4.757,20,10,6,3,4280,IsConfid,ToolConfid,1
8069,19,Male,104217,"Social Media",Consideration,7717.73,0.0306079,0.137317,14,2.96368,12.7026,55,2,1,3,3849,IsConfid,ToolConfid,1
8070,23,Male,34781,Referral,Consideration,997.519,0.0579546,0.0759589,14,1.59876,14.8091,47,16,4,3,1328,IsConfid,ToolConfid,1
8071,59,Female,59865,PPC,Conversion,3042.86,0.297878,0.135598,43,2.3301,4.57768,46,4,5,7,558,IsConfid,ToolConfid,1
8072,21,Male,28469,Email,Consideration,6536.09,0.127962,0.174211,44,5.41055,5.73563,8,5,5,4,2761,IsConfid,ToolConfid,1
8073,46,Male,65167,Email,Retention,1453.64,0.270619,0.128913,33,2.82313,14.5265,77,14,1,4,2918,IsConfid,ToolConfid,1
8074,35,Female,144866,PPC,Awareness,6808.22,0.0594651,0.0884495,49,3.81155,5.69189,0,8,1,8,3483,IsConfid,ToolConfid,1
8075,43,Male,101738,"Social Media",Conversion,684.364,0.133355,0.184763,14,2.19996,8.5618,54,18,1,9,11,IsConfid,ToolConfid,1
8076,61,Male,39928,SEO,Conversion,3415.82,0.28855,0.168691,17,9.30533,11.654,30,5,2,5,2751,IsConfid,ToolConfid,1
8077,51,Female,96521,Email,Awareness,8482.44,0.0364284,0.177663,12,1.30353,6.856,79,7,1,3,1964,IsConfid,ToolConfid,1
8078,27,Male,59599,PPC,Consideration,7765.48,0.182255,0.181606,37,4.1663,5.90282,90,11,8,6,4031,IsConfid,ToolConfid,1
8079,53,Male,36775,SEO,Consideration,6483.13,0.27656,0.0848243,7,3.32339,7.68603,10,15,9,7,65,IsConfid,ToolConfid,1
8080,31,Female,86504,Email,Retention,8717.54,0.285408,0.173331,15,1.07472,11.803,65,19,4,6,1998,IsConfid,ToolConfid,1
8081,48,Female,95918,Referral,Consideration,7121.77,0.255342,0.118366,19,9.35738,5.02635,59,2,8,5,590,IsConfid,ToolConfid,1
8082,65,Male,90687,PPC,Consideration,5241.81,0.258221,0.0172502,25,3.82247,5.58671,30,15,7,1,220,IsConfid,ToolConfid,1
8083,32,Female,46804,Referral,Retention,9799.2,0.199133,0.130809,34,5.52048,3.24252,49,14,4,4,4394,IsConfid,ToolConfid,1
8084,25,Male,129122,"Social Media",Consideration,6979.08,0.0739227,0.0994176,16,6.24346,10.6735,59,10,6,5,928,IsConfid,ToolConfid,1
8085,31,Female,52259,SEO,Awareness,6053.54,0.221897,0.0622794,25,6.49432,13.542,87,5,1,1,1884,IsConfid,ToolConfid,1
8086,40,Female,145725,PPC,Consideration,4147.82,0.293731,0.194373,17,5.14235,3.19323,61,1,9,8,1530,IsConfid,ToolConfid,1
8087,57,Female,106284,Email,Awareness,9033.88,0.162521,0.0204635,43,6.34446,1.00155,38,6,9,9,932,IsConfid,ToolConfid,1
8088,38,Female,105227,Email,Awareness,3027.52,0.0856022,0.189717,6,7.76585,6.02842,2,15,6,3,3472,IsConfid,ToolConfid,1
8089,33,Male,117556,SEO,Awareness,191.274,0.176307,0.0402607,43,9.5688,6.44724,57,0,4,4,3242,IsConfid,ToolConfid,1
8090,62,Male,63560,Referral,Consideration,2047.73,0.210277,0.0816278,34,6.91334,9.86502,67,12,5,4,3897,IsConfid,ToolConfid,1
8091,35,Female,47256,Referral,Consideration,1184.22,0.0704013,0.0892747,11,5.16007,1.74107,29,3,8,6,1288,IsConfid,ToolConfid,1
8092,64,Male,26125,PPC,Conversion,3258.04,0.218565,0.148894,46,5.00144,12.4117,66,0,7,8,2324,IsConfid,ToolConfid,1
8093,41,Male,24370,PPC,Retention,8276.2,0.180356,0.0509657,48,7.38872,8.82281,67,4,1,8,2368,IsConfid,ToolConfid,1
8094,43,Female,24838,Referral,Retention,6550.14,0.187581,0.197359,43,6.64332,8.41658,57,15,9,5,3006,IsConfid,ToolConfid,1
8095,42,Female,134479,PPC,Conversion,1772.91,0.0987365,0.152312,40,4.78348,5.08726,76,18,5,8,72,IsConfid,ToolConfid,1
8096,62,Female,77429,Referral,Awareness,7909.33,0.0550274,0.160091,0,4.02298,5.79638,52,11,0,3,3482,IsConfid,ToolConfid,1
8097,58,Male,23134,SEO,Retention,5091.78,0.1908,0.0302215,24,9.93834,1.3037,13,8,7,4,205,IsConfid,ToolConfid,1
8098,46,Female,130995,PPC,Conversion,5175.88,0.180008,0.100499,15,7.90117,11.4294,9,5,0,4,2595,IsConfid,ToolConfid,1
8099,32,Male,63199,Referral,Awareness,3684.91,0.108024,0.189666,14,2.86098,9.26868,77,8,1,4,3514,IsConfid,ToolConfid,1
8100,62,Male,97092,PPC,Conversion,8659.7,0.0958092,0.0613126,10,3.62954,14.6582,80,1,3,0,2398,IsConfid,ToolConfid,1
8101,18,Female,144925,Email,Consideration,3251.44,0.110701,0.0376229,36,9.0432,5.62665,21,0,9,6,4525,IsConfid,ToolConfid,1
8102,42,Male,53822,Email,Consideration,1031.98,0.152066,0.102225,38,6.94746,10.1605,62,9,1,5,1506,IsConfid,ToolConfid,1
8103,24,Male,113513,"Social Media",Awareness,3097.02,0.292698,0.186775,2,3.79678,13.8334,60,2,4,2,1821,IsConfid,ToolConfid,1
8104,26,Female,40113,Referral,Awareness,7182,0.231434,0.10249,44,4.27789,10.8194,45,17,6,7,272,IsConfid,ToolConfid,1
8105,41,Male,83594,"Social Media",Consideration,6610.06,0.257005,0.0869185,44,4.41017,1.0845,36,11,6,5,360,IsConfid,ToolConfid,1
8106,18,Male,116102,Referral,Retention,1961.37,0.156638,0.133552,41,2.67666,9.66743,20,14,9,8,4403,IsConfid,ToolConfid,1
8107,61,Male,22669,PPC,Retention,1206.66,0.162576,0.188008,38,5.60052,8.40817,88,13,4,6,3502,IsConfid,ToolConfid,1
8108,25,Female,69427,Referral,Consideration,6642.57,0.0692542,0.0193209,19,7.89014,7.74004,2,9,2,7,2395,IsConfid,ToolConfid,1
8109,41,Female,101617,Email,Retention,6796.13,0.219103,0.0391452,22,6.07654,8.51914,18,5,4,8,2647,IsConfid,ToolConfid,1
8110,28,Female,32938,PPC,Consideration,3724.88,0.132259,0.0352233,14,6.90348,7.1782,31,19,3,5,3426,IsConfid,ToolConfid,1
8111,68,Female,25717,Email,Conversion,8443.73,0.22531,0.0262133,17,6.35848,10.5316,78,19,5,7,603,IsConfid,ToolConfid,1
8112,34,Female,97818,PPC,Conversion,9784.23,0.128626,0.0674002,38,1.53006,0.716237,23,11,0,1,3469,IsConfid,ToolConfid,1
8113,25,Female,67659,Referral,Conversion,2135.89,0.04147,0.0535687,34,2.69254,3.23412,72,8,0,0,4643,IsConfid,ToolConfid,0
8114,52,Male,127601,Referral,Retention,5812.98,0.0601856,0.114251,28,4.15314,5.79809,73,3,7,8,162,IsConfid,ToolConfid,1
8115,52,Male,84575,Email,Conversion,152.929,0.245355,0.072185,19,9.00311,7.06368,47,3,5,9,1669,IsConfid,ToolConfid,1
8116,50,Female,99737,SEO,Awareness,7159.24,0.0849988,0.0869895,41,4.13823,2.39205,95,1,8,5,1981,IsConfid,ToolConfid,1
8117,22,Male,36289,Referral,Awareness,4201.39,0.0866628,0.188954,14,3.94405,12.3921,57,6,9,9,4669,IsConfid,ToolConfid,1
8118,59,Female,44406,SEO,Conversion,2013.37,0.279517,0.0395746,31,1.72528,13.9762,39,10,0,9,2597,IsConfid,ToolConfid,1
8119,56,Female,142688,PPC,Awareness,7547,0.200714,0.0838069,11,9.74871,11.3926,6,15,6,2,4820,IsConfid,ToolConfid,1
8120,58,Female,116822,SEO,Conversion,8125.42,0.0431492,0.0588455,47,8.00695,13.9679,45,9,0,2,3803,IsConfid,ToolConfid,1
8121,45,Female,32873,Email,Conversion,1200.55,0.0516397,0.114342,11,7.89334,11.2767,90,14,6,7,3336,IsConfid,ToolConfid,1
8122,24,Female,145812,"Social Media",Consideration,505.858,0.0889866,0.149904,24,4.45335,6.89531,14,1,6,2,4108,IsConfid,ToolConfid,1
8123,26,Male,102048,"Social Media",Conversion,3407.38,0.182259,0.165228,33,1.70533,6.20043,84,11,7,9,3310,IsConfid,ToolConfid,1
8124,25,Female,114463,Email,Awareness,6297.31,0.228319,0.107906,7,3.37168,2.91279,73,14,4,5,4974,IsConfid,ToolConfid,1
8125,29,Female,43461,"Social Media",Retention,7954.85,0.089604,0.172434,23,8.6761,1.75348,86,10,7,5,3606,IsConfid,ToolConfid,1
8126,51,Female,40710,Email,Conversion,5506.02,0.262486,0.159164,44,2.62268,3.68447,4,9,9,4,4652,IsConfid,ToolConfid,1
8127,50,Male,105488,Referral,Consideration,5849.41,0.0416623,0.0398308,0,9.04825,8.21597,58,2,4,6,2863,IsConfid,ToolConfid,1
8128,65,Male,33448,SEO,Awareness,8018.6,0.0702038,0.0566315,24,5.82179,2.45673,69,7,8,3,596,IsConfid,ToolConfid,1
8129,40,Male,35198,"Social Media",Consideration,5335.55,0.291435,0.137627,33,7.43083,14.2919,21,19,7,9,1084,IsConfid,ToolConfid,1
8130,41,Female,93158,Referral,Conversion,6150.43,0.049076,0.195211,13,5.08277,3.66829,27,19,6,5,2530,IsConfid,ToolConfid,1
8131,54,Female,126384,"Social Media",Conversion,5210.55,0.267552,0.0814646,35,9.39078,12.5877,53,4,6,0,3755,IsConfid,ToolConfid,1
8132,52,Male,87938,PPC,Conversion,8816.54,0.214141,0.0536635,5,3.15692,12.3729,18,10,2,2,458,IsConfid,ToolConfid,1
8133,61,Female,70799,Email,Conversion,2431.61,0.0311953,0.175135,44,6.1519,2.54746,13,11,5,6,40,IsConfid,ToolConfid,1
8134,57,Male,121860,Email,Awareness,2713.54,0.150275,0.0479263,8,1.62204,10.8058,47,19,5,8,2601,IsConfid,ToolConfid,1
8135,39,Female,114003,Referral,Retention,1366.82,0.160504,0.142508,47,5.32385,12.4497,6,10,4,0,819,IsConfid,ToolConfid,1
8136,44,Female,54961,PPC,Conversion,8212.72,0.28032,0.0165073,0,9.75443,13.3222,78,5,1,3,3124,IsConfid,ToolConfid,1
8137,52,Male,63007,SEO,Consideration,4176.6,0.13212,0.0136063,8,1.79318,14.3327,31,7,9,6,3120,IsConfid,ToolConfid,1
8138,18,Female,85470,PPC,Awareness,3544.15,0.139561,0.0957977,23,5.56051,13.9865,21,12,6,9,189,IsConfid,ToolConfid,1
8139,52,Female,72256,PPC,Awareness,9815.35,0.0426203,0.134743,38,6.42076,5.01149,45,14,4,8,2995,IsConfid,ToolConfid,1
8140,54,Female,40739,SEO,Awareness,9275.35,0.19536,0.0370625,17,9.38571,4.38101,84,1,1,7,2856,IsConfid,ToolConfid,1
8141,64,Female,104054,SEO,Consideration,9722.68,0.0711601,0.155138,47,3.67673,6.26419,82,5,3,1,2962,IsConfid,ToolConfid,1
8142,31,Female,78186,PPC,Retention,1508.76,0.0324846,0.0344599,38,5.52647,7.24259,12,19,0,1,1913,IsConfid,ToolConfid,0
8143,20,Male,46547,"Social Media",Consideration,8923.39,0.299107,0.111404,17,9.88476,3.89133,21,1,7,8,1910,IsConfid,ToolConfid,1
8144,18,Female,114472,"Social Media",Consideration,3354.23,0.0881926,0.0685768,40,7.92117,1.74821,9,14,4,1,318,IsConfid,ToolConfid,0
8145,22,Female,105823,PPC,Consideration,225.302,0.0509054,0.152928,27,8.29373,10.0205,43,0,7,9,4579,IsConfid,ToolConfid,1
8146,43,Female,138301,"Social Media",Conversion,3973.85,0.212852,0.162782,1,8.0246,3.02649,23,10,0,6,4662,IsConfid,ToolConfid,1
8147,31,Male,126887,SEO,Conversion,5141.04,0.248288,0.0225573,36,5.63703,13.766,58,7,7,9,3096,IsConfid,ToolConfid,1
8148,56,Male,71431,SEO,Consideration,1171.38,0.0285825,0.0465949,40,4.90919,4.67143,61,8,4,8,2876,IsConfid,ToolConfid,1
8149,44,Male,45476,"Social Media",Consideration,5423.01,0.0405641,0.179602,35,3.29332,3.36645,71,14,6,7,252,IsConfid,ToolConfid,1
8150,26,Male,98411,SEO,Conversion,8212.69,0.0361504,0.0889664,47,5.1937,3.31529,71,4,2,4,4,IsConfid,ToolConfid,1
8151,32,Male,30686,Email,Conversion,3838.74,0.0236182,0.10058,23,1.18452,4.69729,54,8,2,1,3395,IsConfid,ToolConfid,0
8152,32,Female,37536,SEO,Retention,3591.18,0.201242,0.0419245,34,1.874,9.3764,48,3,8,5,2692,IsConfid,ToolConfid,1
8153,43,Male,54062,PPC,Consideration,3454.22,0.180611,0.19903,5,3.58532,14.6856,49,9,6,6,3824,IsConfid,ToolConfid,1
8154,59,Male,68216,Referral,Awareness,9238.63,0.202214,0.185379,16,4.00267,7.55089,18,3,5,9,399,IsConfid,ToolConfid,1
8155,30,Female,45041,"Social Media",Retention,582.705,0.156643,0.0103847,29,7.36766,9.19533,81,4,3,6,858,IsConfid,ToolConfid,1
8156,68,Male,51653,"Social Media",Awareness,4506.25,0.247077,0.11464,7,2.54442,12.7177,57,18,4,4,2699,IsConfid,ToolConfid,1
8157,49,Male,41673,SEO,Retention,2719.53,0.168534,0.175731,41,8.16196,5.34354,96,12,7,9,4216,IsConfid,ToolConfid,1
8158,56,Male,30367,SEO,Consideration,8948.69,0.276437,0.0918014,9,8.20721,3.10821,47,10,0,8,2497,IsConfid,ToolConfid,1
8159,66,Male,39629,Referral,Awareness,1050.92,0.150838,0.0929947,15,6.28334,6.78759,92,11,1,5,2503,IsConfid,ToolConfid,1
8160,69,Female,140756,Referral,Conversion,4173.28,0.239291,0.082076,37,5.42347,5.12104,95,13,2,9,2986,IsConfid,ToolConfid,1
8161,49,Male,131641,PPC,Retention,4127.48,0.128135,0.0154774,25,5.20659,13.0589,71,12,4,8,225,IsConfid,ToolConfid,1
8162,21,Female,108636,Email,Awareness,8895.1,0.136215,0.160154,30,4.78485,14.6801,95,3,7,7,3180,IsConfid,ToolConfid,1
8163,47,Female,92190,PPC,Retention,2233.39,0.256208,0.0967892,7,1.79717,10.4806,11,12,4,9,3224,IsConfid,ToolConfid,1
8164,54,Female,45063,"Social Media",Consideration,6484.46,0.0412214,0.110902,34,6.89899,9.97953,85,4,4,8,4269,IsConfid,ToolConfid,1
8165,40,Female,39322,SEO,Awareness,1430.62,0.173826,0.0585802,33,6.19567,10.8562,19,8,5,0,1775,IsConfid,ToolConfid,1
8166,56,Female,104546,PPC,Awareness,9544.36,0.220638,0.158983,9,1.14191,7.28115,44,0,8,1,4941,IsConfid,ToolConfid,1
8167,62,Female,135637,SEO,Awareness,5970.85,0.227622,0.160812,39,2.82426,9.61752,25,11,8,7,927,IsConfid,ToolConfid,1
8168,32,Male,32693,SEO,Retention,6299.94,0.181533,0.115055,43,4.92692,1.53328,80,16,8,5,412,IsConfid,ToolConfid,1
8169,60,Male,29241,PPC,Conversion,4394.36,0.139939,0.181879,11,9.11177,7.65501,97,0,4,0,3631,IsConfid,ToolConfid,1
8170,46,Female,49778,PPC,Conversion,3488.6,0.0856269,0.032018,40,9.91251,5.31932,30,18,5,9,3666,IsConfid,ToolConfid,1
8171,53,Male,122379,Referral,Conversion,2205.5,0.273734,0.159459,26,7.76194,1.27111,81,4,6,0,3396,IsConfid,ToolConfid,1
8172,30,Male,32651,Email,Consideration,6079.48,0.117239,0.116131,18,7.74408,8.39926,58,11,2,0,3426,IsConfid,ToolConfid,1
8173,49,Female,45966,Referral,Awareness,9550.16,0.241708,0.0538925,25,4.73747,5.72372,2,11,0,2,3060,IsConfid,ToolConfid,1
8174,24,Female,29275,Email,Conversion,3661.93,0.019183,0.0351377,14,6.13855,9.0639,17,10,1,8,3550,IsConfid,ToolConfid,1
8175,68,Male,65606,PPC,Conversion,8843.25,0.0773291,0.0671913,30,3.09535,7.94111,83,15,3,5,3789,IsConfid,ToolConfid,1
8176,39,Female,21658,Email,Awareness,1572.89,0.11022,0.1727,45,7.64337,4.50519,20,16,8,1,2545,IsConfid,ToolConfid,1
8177,45,Male,114499,"Social Media",Consideration,9367.65,0.204756,0.159648,36,1.53806,8.32976,56,2,0,7,3047,IsConfid,ToolConfid,1
8178,19,Female,92468,Referral,Retention,3569.81,0.102606,0.132575,17,4.75522,5.99222,98,10,5,9,1407,IsConfid,ToolConfid,1
8179,59,Male,34248,Referral,Retention,3859.3,0.0219955,0.0271621,28,8.48225,13.8562,41,16,3,2,409,IsConfid,ToolConfid,1
8180,62,Male,44437,Referral,Retention,4682.14,0.0604216,0.191418,43,9.81874,5.94668,61,0,5,0,3031,IsConfid,ToolConfid,1
8181,23,Female,59727,SEO,Awareness,7210.62,0.085158,0.0680336,26,7.26903,1.08217,29,14,1,9,126,IsConfid,ToolConfid,1
8182,45,Female,38201,SEO,Consideration,7224.57,0.0610538,0.12533,37,2.77539,11.5718,60,8,1,5,315,IsConfid,ToolConfid,1
8183,45,Female,61150,PPC,Awareness,4847.93,0.0690801,0.162589,19,6.13966,14.4734,35,17,6,3,1148,IsConfid,ToolConfid,1
8184,61,Female,135148,PPC,Retention,5279.21,0.232998,0.0352426,20,6.04462,2.95607,54,0,4,5,2248,IsConfid,ToolConfid,1
8185,61,Male,109891,SEO,Conversion,397.104,0.12949,0.133917,28,9.69188,14.6054,3,5,5,7,3438,IsConfid,ToolConfid,1
8186,37,Female,34999,Referral,Conversion,3112.54,0.127502,0.0161362,42,8.56168,9.44931,14,1,3,3,4419,IsConfid,ToolConfid,1
